product_id,net_sales_amount,net_sales_price,gross_sales_amount,gross_sales_price,average_sales_amount_of_last_5_selling_days,top_selling_location
124af563a4f013f1a99418885825a32d,1,79.99,2,159.98,1.0,Muş
124bf3690e77afdd8024727a44e80ddb,2,27.8,2,27.8,2.0,İzmir
124cdadcfc5347ff45252c542aca9f75,1,52.9,1,52.9,1.0,Giresun
124d6c782b8ea4af221341a732d327fb,1,285.99,1,285.99,1.0,İzmir
124f64297bcd8908cf71385f214386db,1,49.99,1,49.99,1.0,Muş
1250f3b06e3873d82a9dd1d9d8b9d34e,1,59.5,1,59.5,1.0,Ankara
1251214eaae42ebe026fb138e0b10376,1,35.99,1,35.99,1.0,Muğla
1254b2d069c5fa15ff77a3462f83ac5f,1,55.0,1,55.0,1.0,İstanbul
12561fe7c70342f8ec38760c23483002,1,24.99,1,24.99,1.0,İzmir
1256bf800c2fff0ca165e66a9f50c725,1,59.99,1,59.99,1.0,Ankara
1256df9e740017ae57a0cfca8e090c8c,3,60.6,3,60.6,1.0,Ankara
12617ef40b86d90ce4536dd296e9ec85,1,33.99,1,33.99,1.0,İstanbul
1266f65f9149c925b0454031e9f4a5b7,0,0.0,1,111.0,1.0,Aksaray
126a49c33e87fc9e6a82aefa0a993ee8,2,266.62,2,266.62,2.0,Muğla
126b568fefde7276d09a0d419b0494ff,2,123.77,2,123.77,1.0,İstanbul
126dbf39df6d2106a5fdf966098e9626,1,15.3,1,15.3,1.0,İstanbul
126f7500906ab838b89a630e5d7a2e67,1,62.0,1,62.0,1.0,İzmir
1271a426a789d759b1d92337f3668e03,1,29.95,1,29.95,1.0,Giresun
127452e8dae19e54d94a53a6ba10a225,1,30.9,1,30.9,1.0,Giresun
127867b2bd9a18339ec934577c13d2ba,2,144.0,2,144.0,2.0,İstanbul
127ea7a14e4d8e78573c0d2c4e891acf,2,330.0,2,330.0,1.0,İstanbul
1280e0632d4177f1f36ede5ef84b2346,1,2518.0,1,2518.0,1.0,Ankara
1281c1a2a5c0fbc7ae9ce39792495efd,1,35.53,1,35.53,1.0,İzmir
1282aca4a33c09aa6bc9f9c80970491a,1,16.99,1,16.99,1.0,İzmir
128a4f5a67e1accadb94cfaa0f6e2333,1,16.81,1,16.81,1.0,Antalya
128c191abaf64011d05ae16b6433625e,1,200.0,1,200.0,1.0,İzmir
128c5cbbfec72c2da518b692964deb36,1,219.99,1,219.99,1.0,Muş
128ff14391074e72da964f2eba6017ed,2,161.51,2,161.51,1.0,İstanbul
1291a811d8b12178df69ef110b158374,1,14.9,1,14.9,1.0,Ankara
12a1ccb9c2b012ac332d479712d58026,1,89.95,1,89.95,1.0,İstanbul
12a1d633c0f47c54b0be76dcc405027e,3,1196.6999999999998,3,1196.6999999999998,3.0,Bayburt
12a24d383e92f4729dfa0186cb846633,1,39.99,1,39.99,1.0,İzmir
12a5401126e0023285af64120fb4cfa6,2,189.9,2,189.9,1.0,Muğla
12a5714d64c1ca7702301081d7855397,1,79.99,1,79.99,1.0,Ankara
12a9a2b45ad4933367d765fe6eb4983d,1,23.9,1,23.9,1.0,Muş
12ab899eea8b8ef86d089df143ec4206,9,404.91,9,404.91,1.0,İzmir
12abf68e17f69abf13d63e60b88b9305,1,44.99,1,44.99,1.0,Antalya
12b0ff0972b957c14e329c211ffb3783,2,29.8,2,29.8,2.0,Aksaray
12c4f5a0f1a804f89a5600f694d74764,2,78.0,2,78.0,2.0,Antalya
12c6b91dde5b81f60c54dc2807b030f8,1,51.9,1,51.9,1.0,Antalya
12c97816bc814ced85e0bbda6c8058f0,1,35.0,1,35.0,1.0,Muş
12c9a888d05d3ae3e4d0e299ffcfb0df,1,29.99,1,29.99,1.0,İstanbul
12d0b831aaca20b10920ba3408af6779,1,39.99,1,39.99,1.0,Muş
12dd2846feff844bccf36af03629ec83,1,89.99,1,89.99,1.0,İstanbul
12e2f7a4aa0e3a9d285c4ac63b99dd53,1,23.19,1,23.19,1.0,Ankara
12e69f5da8d8b8bfe315ce3f067bff21,1,28.75,1,28.75,1.0,İzmir
12eb7ae0c5fd7ef61e3aeddd1349d241,5,116.8,5,116.8,2.5,İstanbul
12ecd50209b732201af8ecd15bef1e17,1,89.95,1,89.95,1.0,İstanbul
12edc5354a449e1f7619d06fa2dbfae,0,0.0,1,24.99,1.0,Ankara
12ede5ae925fd850ee6f390c690bc858,1,69.97,1,69.97,1.0,Antalya
